material,fraction,ionization,IP,EA
1.4,1.4,1.0762824810782615e-07,7.131439336664918,5.731439336664918
1.1,1.1,0.007226700869765667,6.831439336664918,5.731439336664918
0.6,0.6,0.4484408276708131,6.331439336664918,5.731439336664918
_0.2,0.2,0.6843256249386793,5.531439336664918,5.731439336664918
0.3,0.3,0.5900198722845384,6.031439336664918,5.731439336664918
_0.5,0.5,0.7068950265942446,5.231439336664918,5.731439336664918
1.5,1.5,3.6049728995791524e-11,7.231439336664918,5.731439336664918
_0.1,0.1,0.6733259658993607,5.6314393366649185,5.731439336664918
0.2,0.2,0.617309039624526,5.931439336664918,5.731439336664918
0.4,0.4,0.5545717488155277,6.131439336664918,5.731439336664918
0.7,0.7,0.36841867829337915,6.431439336664917,5.731439336664918
1.0,1.0,0.035005899311951146,6.731439336664918,5.731439336664918
0.9,0.9,0.1356098903541559,6.631439336664918,5.731439336664918
_0.3,0.3,0.6945479756946215,5.431439336664918,5.731439336664918
1.2,1.2,0.001169556302204994,6.931439336664917,5.731439336664918
_0.4,0.4,0.7024896407362266,5.331439336664918,5.731439336664918
0.5,0.5,0.5083834813999885,6.231439336664918,5.731439336664918
0.8,0.8,0.26329720043969806,6.531439336664918,5.731439336664918
_0.0,0.0,0.6585316274215562,5.731439336664918,5.731439336664918
1.3,1.3,2.091458335675084e-05,7.031439336664918,5.731439336664918
0.1,0.1,0.6402677881732044,5.831439336664918,5.731439336664918
