material,fraction,ionization,IP,EA
1.4,1.4,0.0003569686070801099,7.044944494004585,5.644944494004585
1.1,1.1,0.039473506695415786,6.744944494004585,5.644944494004585
0.6,0.6,0.5249205729948744,6.244944494004585,5.644944494004585
_0.2,0.2,0.7522963558572145,5.444944494004585,5.644944494004585
0.3,0.3,0.6621079948419949,5.944944494004585,5.644944494004585
_0.5,0.5,0.7715496002398335,5.144944494004585,5.644944494004585
1.5,1.5,1.2082829111712272e-06,7.144944494004585,5.644944494004585
_0.1,0.1,0.7405602145693329,5.544944494004586,5.644944494004585
0.2,0.2,0.6895123683190861,5.844944494004586,5.644944494004585
0.4,0.4,0.6280037482890111,6.044944494004585,5.644944494004585
0.7,0.7,0.45106408223840627,6.344944494004585,5.644944494004585
1.0,1.0,0.11971146698382376,6.644944494004585,5.644944494004585
0.9,0.9,0.24337764815933363,6.544944494004585,5.644944494004585
_0.3,0.3,0.7593435051891537,5.344944494004586,5.644944494004585
1.2,1.2,0.01177779825996403,6.844944494004585,5.644944494004585
_0.4,0.4,0.7666309591427262,5.244944494004585,5.644944494004585
0.5,0.5,0.5826584038272657,6.144944494004585,5.644944494004585
0.8,0.8,0.35786914334323955,6.444944494004585,5.644944494004585
_0.0,0.0,0.7279487866393444,5.644944494004585,5.644944494004585
1.3,1.3,0.002155544604418314,6.944944494004585,5.644944494004585
0.1,0.1,0.7102630740550112,5.744944494004585,5.644944494004585
