material,fraction,ionization,IP,EA
1.4,1.4,1.2252560312989129e-45,7.096984353668964,5.696984353668965
1.1,1.1,0.0001715629077674435,6.7969843536689645,5.696984353668965
0.6,0.6,0.39031595615867043,6.2969843536689645,5.696984353668965
_0.2,0.2,0.671893391866332,5.496984353668965,5.696984353668965
0.3,0.3,0.5662238252486382,5.996984353668965,5.696984353668965
_0.5,0.5,0.6989362353025176,5.196984353668965,5.696984353668965
1.5,1.5,2.3148148148148133e-53,7.196984353668965,5.696984353668965
_0.1,0.1,0.6589698366468838,5.596984353668965,5.696984353668965
0.2,0.2,0.5983681627675227,5.896984353668965,5.696984353668965
0.4,0.4,0.5239067564700495,6.096984353668964,5.696984353668965
0.7,0.7,0.2826440351453362,6.396984353668964,5.696984353668965
1.0,1.0,0.0032382348352054773,6.696984353668965,5.696984353668965
0.9,0.9,0.02400846699900955,6.596984353668964,5.696984353668965
_0.3,0.3,0.6815245478310519,5.396984353668965,5.696984353668965
1.2,1.2,8.224242693600682e-10,6.896984353668964,5.696984353668965
_0.4,0.4,0.6905936534559717,5.2969843536689645,5.696984353668965
0.5,0.5,0.46658361998770165,6.196984353668965,5.696984353668965
0.8,0.8,0.12965198571927644,6.496984353668965,5.696984353668965
_0.0,0.0,0.6434615713664742,5.696984353668965,5.696984353668965
1.3,1.3,5.3926179589050615e-19,6.996984353668965,5.696984353668965
0.1,0.1,0.6200899091044979,5.7969843536689645,5.696984353668965
